"","x"
"1","2"
"2","2"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","0"
"10","1"
"11","1"
"12","0"
"13","1"
"14","1"
"15","0"
"16","2"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","1"
"23","2"
"24","2"
"25","2"
"26","1"
"27","1"
"28","1"
"29","1"
"30","2"
"31","0"
"32","0"
"33","2"
"34","1"
"35","0"
"36","0"
"37","1"
"38","1"
"39","1"
"40","0"
"41","0"
"42","0"
"43","0"
"44","1"
"45","2"
"46","1"
"47","1"
"48","2"
"49","0"
"50","0"
"51","0"
"52","1"
"53","2"
"54","1"
"55","0"
"56","1"
"57","2"
"58","2"
"59","0"
"60","1"
"61","2"
"62","1"
"63","0"
"64","1"
"65","0"
"66","1"
"67","1"
"68","0"
"69","0"
"70","0"
"71","0"
"72","1"
"73","0"
"74","0"
"75","0"
"76","1"
"77","0"
"78","2"
"79","1"
"80","0"
"81","0"
"82","0"
"83","0"
"84","0"
"85","0"
"86","0"
"87","0"
"88","1"
"89","1"
"90","1"
"91","0"
"92","1"
"93","0"
"94","1"
"95","1"
"96","2"
"97","1"
"98","2"
"99","0"
"100","2"
"101","1"
"102","0"
"103","1"
"104","1"
"105","1"
"106","1"
"107","0"
"108","0"
"109","2"
"110","1"
"111","0"
"112","2"
"113","1"
"114","2"
"115","0"
"116","1"
"117","1"
"118","1"
"119","0"
"120","0"
"121","0"
"122","1"
"123","0"
"124","1"
"125","0"
"126","1"
"127","0"
"128","0"
"129","1"
"130","2"
"131","1"
"132","1"
"133","0"
"134","0"
"135","1"
"136","1"
"137","1"
"138","1"
"139","0"
"140","1"
"141","0"
"142","1"
"143","0"
"144","1"
"145","1"
"146","0"
"147","0"
"148","1"
"149","0"
"150","1"
"151","2"
"152","0"
"153","1"
"154","0"
"155","1"
"156","1"
"157","1"
"158","1"
"159","0"
"160","2"
"161","0"
"162","1"
"163","1"
"164","0"
"165","1"
"166","1"
"167","0"
"168","1"
"169","2"
"170","1"
"171","1"
"172","1"
"173","0"
"174","1"
"175","0"
"176","0"
"177","0"
"178","0"
"179","0"
